shadjamam|షడ్జమం 
aranverppu|ఆరన్వెరప్పు
girija|గిరిజా
sharavibhasitam|శర్విభాసితమ్
hariprakasha|హరిప్రకాశ
karaimidatron|కారైఇటోట్రాన్
sunadala|సుదల
kunjamalini|కుంజమలిని
ratnajyoti|రత్నజ్యోతి
nigvanivasantam|నిగ్వానీవస్ంతమ్
kirvani|కిర్వాణి
navaplavi|నవలావి
banavasantam|బాణావంతము
parpati|పర్పాటి
tirukkondalvannan|తిరుక్కకొండలవ్వన్
udika|ఉదీక
cutavali|కతావళి
ramakriya|రామప్రియ
pavitri|పవిత్ర
tindiyam|టిండియం
bhinnaherali|భినన్హేలాలి
suragavikrama|సురగవిక్రమ
tapincam|బద్దకం
nasamani|నామాని
samanarayani|సామనారాణి
vasavariti|వవర్తి
tanittai|తనివ్వు
tirumurti|తిరుమూర్తి
adan|అదాన్
ganapratapa|గణపరతప
kayajapriya|కజ్జాప్రియ
calanavarali|కాలాన్వరాళి
vyaghramanjari|వ్యాఘరమంజరి
vijayavasantam|విజయవాసాంతమ్
salaga|సల్లగ
purantakam|పురాంతకమ్
sanatanikalyani|సనాతనీయకల్యాణి
pariti|పరిణితీ
dhumala|ధుమల
shankara|శంకర
shuddhadeshi|శుధ్దేషి
atrar|అత్రార్
somakriya|సోమప్రియ
shivashirumani|శివశీరుమణి
gaula|గాజుల
akhandala|అఖానాల
mamaruvagaula|మమరువగతుల
innishaidhvani|ఇనిషాదిధ్వని
smasi|స్మసి
sakalabibhasu|సకలాబభసు
harabhusani|హరభసాని
nadagupti|నడగలుర్తి
purnodayam|పూర్ణోదయం
anantan|అనంతన్
bhairavi|భైరవి
posini|పోసిని
bhadrakara|భద్రకర
sadvidhamargini|సద్విదధమార్గిని
kalakamadi|కాలమడి
gaudamallar|గౌతమల్లార్
renuka|రేణుక
svarnadipakam|స్వర్గనదీపకం
kotri|కోత్రి
naccellaiyar|naccellaiyar
sharadyuti|శారదయుక్తి
putikam|పుత్రికమ్
bhagyaranjani|భాగ్యరంజని
shesaprabhata|ేశప్రభత
bhinnavikramam|భిన్నవిక్రమం
kuntalam|కుంతలం
svarastra|స్వర్గస్త్రాన్ని
mukundakokila|ముకుందకోకిల
bhrngamohini|భ్రున్గామోహిణి
hanumanta|హనుమంత
guruprakashi|గురుప్రకాశకాశి
shrimanoranjani|శ్రీమంతరంజని
lavanavaridhi|లవణవరసిద్ధి
bammani|బాంబుమణి
vasantamanohari|వసంతామనోహరి
varini|వర్షిని
chayasobhitam|చయశోభితం
mecabauli|mecabమౌళి
gurudipakam|గురుడిపాకం
shrikalkada|శ్రీకాళకడ
gajashri|గజశ్రీ
kacaragam|కచ్చరాగం
sarangakapi|సారక్కకపి
vidata|విద్ాట
kuvalayapriya|కువలయప్రియ
latarlatika|లాటరలతిక
garbhasardula|గరభసర్దుల
kallolabangala|కాలలోలాంగళ
ratishobhita|రతిశోభిత
kinnaraoli|కిన్నరోలి
nepala|నేపాల
karnikadhari|కర్నికదరి
rasali|రవళి
kokilabangala|కోకిలబాంగళ
hayagati|హయగతి
kumanan|కుమనన్
mayavasantam|మాయావాసాంతమ్
sarangamani|సారమణి
shribhinnapanchama|శ్రీభినృపఞచమ
guhamancikai|గుహామనసికై
mangayarkkarashi|మంగతాయర్కరశి
sarvabhauma|సర్వభూమ
sunadapriya|సుదప్రియ
balacaritra|బాలచరిత్ర
kinnari|కినారి
kancanangi|కందుకూరి
ghanamayuri|ఘనమాయురి
vilambini|విలాంబినీ
sarangalila|సారాలశిల
abherini|అభేరి
irili|ఇగిలి
purnagaula|పురనాగుల
mameghakuntali|మామిఘకుండాలీ
lalitapancamam|లలితాపీఠం
gaulagandhari|గాజులంధరి
vanan|వనన్
dhiramati|ధీరమతి
purnabhairavi|పుర్నభైరవి
padmavati|పద్మావతి
pancakottani|పంచకోత్తని
tirukkanatitan|తిరుక్కనాతిత్తన్
hladini|హ్లాదిని
shuddasatva|శుదాత్త్వ
nadahindola|నాహిద్ ల
ksadraksi|కసదరాక్షసి
balaghosi|బాలాహోసి
sardalangi|శారదంగి
nalinasukhi|నళినశుకీ
sakalakalavalli|సకలకలవల్లి
devamukhari|దేవముకోరి
triyama|త్రయమ
citam|చిత్తం
hamsanarayani|హంసననారాయణి
vasugarbha|వసురభ
cidanandi|చిడానంది
nagabharanam|నాగభరణం
margabhadra|మార్గాభద్ర
innishakkadal|ఇనిషకకడల్
gunasindhu|గుణసనిధు
vishvambari|విశ్వంబరి
phalantam|ఫలంతమ్
sindhumukhari|సింధుమముఖి
vagvilasita|వాగ్విలాసిత
hrinkaradhvani|హ్రినకరధ్వని
prabhavali|ప్రభావలి
patravazhai|పట్రావజాహై
varam|వరం
naipali|నైపాలి
ramabharanam|రాభరణం
kannadasaurastra|కన్నదాససౌరాత్ర
ellon|ెల్లాన్
kanni|కన్ని
painjjnivi|పఞంజజ్నివి
shashankakirana|శశాంకాచరణ
manabharani|మానభరణి
makaraketana|మకరదేవతా
ratnasaranga|రత్నరంగ
mallari|మల్లారి
vrsamati|vrsamati
tiruchchengai|తిరుచ్చెగయి
nitimati|నితిమతి
ma-avaron|మ-avaron
shreeraagam|శ్రేష్ఠరాగం
shilluru|షిల్లూరు
nandanapriya|నందనప్రియ
jayamanohari|జయమంత్రోహరి
ghanashyamala|ఘనశ్యామల
mayasvarupini|మయస్వరూధిని
divyasena|దివ్యసేన
shrngaralalita|ష్రన్గరలలిత
natyabharanam|నాట్యభరణం
somurtika|సోమూర్తిక
uvana|వన
puspamanohari|పుస్పమానోహరి
kalanemi|కాలనేమి
deshyatodi|దేశయతోడి
kokilavicitra|కోకిళవిమిత్ర
suryapiravai|సూర్యపతివై
matelli|మాపెల్లి
deshi|దేశి
virashankarabharanam|వీరశంకరాభరణం
bangala|బంగాలా
tiruambikaiyan|తిరుఅంబకైయన్
tirodam|తిరోడాం
mattakokila|మత్తకోకిల
gurupriya|గురుప్రియ
mukundamanohari|ముకుదనోహరి
badarivasantam|బదర్వవస్ంతమ్
yauvani|యౌవని
selvanayaki|చెలువనాయకి
nedili|నెదిలి
kalidasa|కాళిదాసు
shengunri|షెంగురీ
hemanadini|హేమనందిని
puspalalita|పుసలలిత
bhuvanasundari|భువనసుందరి
bhinnagandhari|భిన్నగంధరి
dhonka|ధోనిక
shuddhatodi|శుద్ధోది
adideshya|ఆదిదేశ్య
dirghamangali|డిర్ఘమంగలి
komaghal|కొనగళ్
gajavardhanam|గజవర్ధనమ్
dilipakam|దినిపాకం
pakali|పాళి
indrabharanam|ఇంద్రభరణం
sadaya|సదయ
patakam|పత్రకం
vasantamalli|వసంతమల్లి
anguru|అంగూరు
rangatodi|రంగతోడి
sakalamangalai|సకలమంగళాలై
govardhani|గోవర్ధని
vaidarbha|వైనారంభ
kuresham|కురేషం
hamsavariti|హంసావరిటీ
pantu|పంతు
ragam|రాగం
purvavivardhini|పూర్వావర్ధినీ
manirangu|మణింగరు
kamalanarayani|కమలనారాయణి
dhanakriyadhatu|ధనఖ్రయతు
ukapriya|ప్రియ
vasantamaruva|వచనతామరవ
jyotispati|జ్యోతిస్పతి
bhinnasadjam|భినన్దజమ్
raktamadhavi|రక్తాధవి
dajasari|దజసరి
paramam|పరమం
anandarupi|ఆనందరూపి
nagari|నగరి
bhayasvini|భయస్విని
jhankaradhwani|ఝంకారనాధ్వానీ
ghanaandolika|ఘనానందఒలిక
jingala|గజ్జల
kanakabhusani|కనకభాని
karnatakaandali|కర్ణాకమండలం
nagabhogi|నాగభోగి
purasuya|పురసూయ
dinarneya|దినరనేయ
simhamadhyama|సింహమధ్యమ
vivardhani|వివర్ధని
namavarali|నమవరాళి
daka|దాక
shrianaka|శ్రీనక
vilasini|విలాసిని
mamangaladeshikam|మంగళదేషికం
caturamba|చతురంబ
madhavamanohari|మాధవానోహరి
hatakavarali|హంతకవరాళి
sindhunata|సింధునత
ravidyuti|రవియుక్తి
sarasapriya|సరసప్రియ
murajavadini|మురాజవదనీ
devasalagam|దేవసలగం
vimali|విమాలి
sumatarangini|సుమరంగిని
lalitagauri|లలితాగౌరి
shrikanta|శ్రీకాంత
shaantakalyaani|షాంతాల్యాని
dhurvangi|ధుర్వాంగీ
malahari|మలహరి
samavarali|సామవరాళి
annapancamam|అన్నపానాకామ్
natavardhini|నటవర్ధిని
ratnabanu|రత్నానూ
makarankapriya|మకరనకప్రియ
sarasabhasani|సరసభాసాని
tindi|తండిి
lokaprtapa|లోకపర్భతప
shakuli|శకులి
shivashakti|శివశక్తి
manjivasantam|మమాంసాంతమ్
mangaladhvani|మంగళధ్వని
shuddhalahari|శుద్దాహలహరి
nemi|నులి
tirumaran|తిరుమారన్
linamati|లిమాతి
varite|వరితే
ghanajaghanam|ఘనజగణం
dhamalaki|ధమలకి
suprasvini|సుప్రసవినీ
